Jahr;Haushalt in GWh;Primärer Sektor in GWh;Industrie in GWh;Dienstleistungen in GWh;Bahnen in GWh;Elektromobilität in GWh;Verkehr Beleuchtung in GWh;Übriger Verkehr in GWh
1984;11394;812;14539;9209;2158;0;464;1089
1985;11960;866;15644;9365;2193;0;439;854
1986;12307;857;15880;9677;2230;0;441;956
1987;12688;884;16039;10265;2328;0;447;940
1988;12668;901;16615;10368;2441;0;451;883
1989;12875;907;17049;10801;2478;0;451;941
1990;13213;881;17237;11242;2574;0;454;977
1991;13848;926;17255;11570;2524;0;469;994
1992;14166;935;16870;11885;2532;0;478;1000
1993;14172;929;16201;12011;2457;0;487;982
1994;14193;896;15898;12017;2440;0;480;973
1995;14680;912;16093;12280;2433;0;490;994
1996;15271;942;15996;12577;2398;0;475;1033
1997;14859;954;16229;12674;2410;0;476;1010
1998;15122;945;16659;12941;2477;0;468;1008
1999;15558;953;17023;13609;2548;0;482;1040
2000;15727;991;18024;13229;2640;231;465;1066
2001;16080;1019;18296;13827;2698;230;487;1112
2002;16291;1018;18127;13966;2798;229;468;1132
2003;16679;1016;18237;14326;2984;227;474;1179
2004;17114;1026;18587;14610;2940;226;482;1186
2005;17624;1027;18845;14929;2983;225;477;1220
2006;17702;1051;18945;15083;3093;224;471;1213
2007;17472;1004;18942;15048;3076;224;453;1213
2008;17897;1013;19227;15560;3142;223;466;1201
2009;17920;1002;18156;15493;3064;223;456;1180
2010;18618;1003;19216;15864;3163;222;463;1236
2011;17932;987;19151;15557;3061;239;451;1221
2012;18320;986;18974;15673;3094;250;447;1229
2013;18762;993;18713;15831;3143;239;441;1201
2014;18279;970;17964;15337;3070;245;433;1168
2015;18748;984;17934;15580;3136;256;425;1183
2016;19057;976;17704;15430;3199;270;414;1189
2017;19200;972;17838;15468;3149;282;401;1173
2018;19041;966;17251;15413;3090;314;366;1206
2019;19032;945;17208;15084;3043;341;350;1195
2020;19218;922;16622;14309;2799;378;331;1135
2021;20169;962;17538;14612;2933;459;319;1121
2022;19317;954;17305;14393;2981;653;302;1125
2023;19218;923;16252;14448;2988;816;280;1143
